index,file,lines,version
0,src/main/java/com/fasterxml/jackson/databind/deser/CreatorProperty.java,"{136, 135}",0
1,src/main/java/com/fasterxml/jackson/databind/deser/impl/FieldProperty.java,"{218, 93, 94}",0
2,src/main/java/com/fasterxml/jackson/databind/deser/impl/MethodProperty.java,"{84, 85}",0
3,src/main/java/com/fasterxml/jackson/databind/deser/impl/ObjectIdReferenceProperty.java,"{54, 55}",0
4,src/main/java/com/fasterxml/jackson/databind/deser/impl/ObjectIdValueProperty.java,"{56, 55}",0
5,src/main/java/com/fasterxml/jackson/databind/deser/impl/SetterlessProperty.java,"{68, 69, 157}",0
6,src/main/java/com/fasterxml/jackson/databind/deser/std/AtomicReferenceDeserializer.java,{43},0
7,src/main/java/com/fasterxml/jackson/databind/deser/CreatorProperty.java,{135},1
8,src/main/java/com/fasterxml/jackson/databind/deser/impl/FieldProperty.java,"{217, 93}",1
9,src/main/java/com/fasterxml/jackson/databind/deser/impl/MethodProperty.java,{84},1
10,src/main/java/com/fasterxml/jackson/databind/deser/impl/ObjectIdReferenceProperty.java,{54},1
11,src/main/java/com/fasterxml/jackson/databind/deser/impl/ObjectIdValueProperty.java,{55},1
12,src/main/java/com/fasterxml/jackson/databind/deser/impl/SetterlessProperty.java,"{156, 68}",1
13,src/main/java/com/fasterxml/jackson/databind/deser/std/AtomicReferenceDeserializer.java,{43},1
