index,file,lines,version
0,src/main/java/org/jsoup/nodes/Attributes.java,"{6, 402, 403, 404, 405, 406, 407, 408, 409, 410, 411, 412, 413, 414, 415, 416, 417, 418, 419, 241, 242, 243, 119, 124}",0
1,src/main/java/org/jsoup/parser/HtmlTreeBuilder.java,"{199, 200, 201, 202, 203, 204}",0
2,src/main/java/org/jsoup/parser/ParseSettings.java,"{40, 38, 39}",0
3,src/main/java/org/jsoup/parser/Token.java,{116},0
4,src/main/java/org/jsoup/parser/XmlTreeBuilder.java,{78},0
5,src/main/java/org/jsoup/nodes/Attributes.java,"{6, 397, 239, 118, 123}",1
6,src/main/java/org/jsoup/parser/HtmlTreeBuilder.java,{199},1
7,src/main/java/org/jsoup/parser/ParseSettings.java,{38},1
8,src/main/java/org/jsoup/parser/Token.java,{116},1
9,src/main/java/org/jsoup/parser/XmlTreeBuilder.java,{78},1
